Theft Status,Occurrence Hour,Occurrence Month,Premises Type,Bike Cost
1,19,12,Outdoors,1300
1,0,9,Residential,750
1,16,12,Residential,1500
1,12,1,Residential,1019
1,0,12,Residential,1200
1,0,7,Outdoors,600
1,0,12,Residential,1500
1,18,1,Residential,200
1,8,1,Other,560
1,20,1,Residential,900
1,16,12,Residential,1500
0,21,1,Residential,0
1,8,11,Residential,1300
1,23,1,Outdoors,1800
1,8,1,Other,150
1,20,1,Residential,479
1,7,1,Residential,200
1,7,1,Residential,200
1,9,6,Outdoors,700
1,23,1,Residential,900
1,6,1,Other,1100
1,8,1,Outdoors,600
1,10,1,Outdoors,2000
1,10,1,Residential,300
1,4,1,Residential,120
1,0,1,Residential,150
1,14,1,Other,350
1,13,1,Residential,2000
1,0,12,Residential,500
1,0,12,Residential,950
1,8,1,Outdoors,1800
0,1,2,Residential,200
1,9,1,Residential,400
1,19,2,Other,1400
1,17,2,Residential,2000
1,15,1,Other,500
1,18,1,Residential,1750
1,19,2,Residential,500
1,0,1,Other,700
1,23,2,Residential,0
1,9,2,Residential,2000
1,0,1,Residential,1400
1,12,11,Residential,250
1,14,2,Other,300
1,14,2,Other,1000
1,14,2,Other,1850
1,20,3,Other,1500
1,21,3,Outdoors,800
1,20,3,Residential,2000
1,10,3,Residential,400
1,15,2,Residential,500
1,19,3,Residential,200
1,20,2,Residential,2200
1,17,3,Other,400
1,17,3,Other,300
1,22,3,Outdoors,500
1,11,1,Outdoors,400
1,11,3,Outdoors,1000
1,19,3,Other,250
1,9,3,Residential,300
1,17,3,Outdoors,300
1,21,3,Residential,200
1,3,3,Residential,400
1,3,3,Residential,300
1,9,3,Other,200
1,23,3,Residential,500
1,6,3,Other,800
1,20,3,Outdoors,0
1,18,3,Residential,2000
1,16,3,Residential,1050
1,17,3,Outdoors,200
1,0,12,Residential,450
1,12,4,Other,1400
1,10,3,Outdoors,600
1,10,4,Residential,1300
1,9,4,Outdoors,1300
1,6,4,Residential,650
1,6,4,Residential,1000
1,22,4,Other,600
1,1,4,Residential,1000
1,21,4,Residential,1300
1,22,4,Residential,500
1,23,4,Residential,1300
1,2,4,Outdoors,200
1,17,4,Outdoors,1000
1,10,4,Outdoors,850
1,13,4,Other,350
1,21,4,Residential,600
1,8,4,Outdoors,750
1,15,4,Residential,900
1,13,4,Other,200
1,0,4,Residential,550
1,10,4,Other,1464.75
1,18,4,Other,700
1,8,4,Residential,2100
0,13,4,Residential,962.760009765625
1,9,12,Other,200
1,19,3,Outdoors,72
1,17,4,Other,400
1,9,4,Outdoors,0
1,14,4,Outdoors,600
1,23,11,Residential,50
1,23,11,Residential,600
1,22,4,Residential,500
1,14,4,Outdoors,719
1,12,4,Outdoors,1500
1,9,4,Other,827.950012207031
1,9,4,Other,883.150024414063
1,16,4,Outdoors,600
1,13,4,Outdoors,750
1,20,4,Outdoors,600
1,8,4,Residential,500
1,19,4,Outdoors,600
1,15,4,Outdoors,0
1,23,4,Residential,400
1,3,4,Residential,300
1,23,4,Residential,860
1,23,4,Residential,1000
0,11,4,Outdoors,700
1,21,4,Residential,900
1,23,4,Residential,450
1,12,4,Residential,350
1,15,4,Outdoors,600
1,17,4,Residential,0
1,21,2,Residential,900
1,0,2,Residential,1335
1,19,4,Residential,600
1,16,4,Residential,1000
1,15,4,Residential,450
1,12,4,Outdoors,300
1,21,4,Outdoors,2000
1,17,4,Residential,1500
1,20,4,Outdoors,150
1,20,4,Outdoors,2000
1,16,4,Outdoors,350
1,18,4,Outdoors,100
1,12,12,Outdoors,1300
1,19,4,Other,650
1,11,4,Residential,10
1,14,4,Residential,789.869995117188
1,18,4,Outdoors,300
1,10,4,Residential,500
0,14,4,Residential,150
1,2,4,Residential,465
1,17,4,Residential,200
1,21,4,Outdoors,350
1,11,4,Residential,320
1,9,4,Outdoors,620
1,9,5,Outdoors,800
1,13,4,Residential,130
1,12,3,Residential,500
1,12,3,Residential,500
1,16,5,Residential,1000
1,16,5,Residential,649
1,12,5,Outdoors,700
1,18,5,Other,1200
1,16,10,Residential,1106.27001953125
1,22,5,Residential,0
1,16,5,Outdoors,160
1,8,5,Other,350
1,8,5,Outdoors,250
1,17,5,Residential,500
1,3,5,Outdoors,100
1,0,5,Residential,60
1,0,5,Residential,60
1,18,4,Other,1300
1,19,5,Outdoors,550
1,22,5,Residential,100
1,23,5,Residential,100
1,14,5,Outdoors,300
1,21,5,Residential,250
1,23,5,Residential,1500
1,21,5,Residential,200
1,13,5,Outdoors,550
1,8,5,Outdoors,600
1,21,5,Residential,450
1,7,5,Residential,400
1,7,5,Other,425
1,19,2,Residential,700
1,19,2,Residential,700
1,18,5,Residential,200
1,16,5,Outdoors,500
1,18,5,Other,200
1,7,5,Outdoors,399
1,14,5,Residential,260
1,17,5,Residential,600
1,2,5,Residential,500
1,1,5,Other,500
1,19,5,Other,650
1,8,5,Other,1249
1,19,5,Other,1600
1,15,5,Outdoors,1200
1,8,5,Outdoors,500
1,7,5,Outdoors,1295
1,8,5,Other,300
1,2,5,Residential,700
1,15,5,Residential,734.47998046875
1,12,5,Outdoors,250
1,18,5,Other,900
1,5,5,Outdoors,1200
1,23,5,Residential,80
1,6,5,Other,1400
1,5,5,Outdoors,1200
1,22,5,Other,500
1,6,4,Residential,1400
1,7,5,Other,675
1,8,5,Residential,200
1,13,5,Residential,400
1,18,5,Other,1200
1,15,5,Residential,200
0,15,5,Residential,120
1,23,5,Other,1500
1,9,5,Outdoors,300
1,7,5,Other,400
1,23,5,Residential,500
1,15,5,Other,677
1,7,5,Other,500
1,8,5,Outdoors,0
1,23,5,Other,1500
1,17,5,Outdoors,305
1,23,5,Other,450
1,14,5,Residential,1000
1,21,5,Residential,1200
1,20,5,Other,859.97998046875
1,20,5,Other,579.989990234375
1,11,5,Other,1300
1,10,5,Outdoors,330
1,12,5,Residential,700
1,0,3,Residential,1200
1,15,5,Residential,800
1,15,5,Residential,1800
1,3,5,Outdoors,700
1,14,5,Residential,0
0,21,5,Other,675
1,17,4,Residential,262.489990234375
1,0,5,Residential,629
1,21,5,Residential,900
1,8,5,Outdoors,450
1,22,5,Residential,500
1,22,5,Residential,650
1,12,5,Other,632
1,8,5,Outdoors,350
1,8,5,Outdoors,1200
1,9,5,Residential,2300
1,18,5,Residential,400
1,14,5,Other,200
1,8,5,Outdoors,1000
1,10,5,Residential,200
1,19,5,Residential,1100
1,22,5,Outdoors,100
1,16,5,Outdoors,500
1,14,5,Other,1600
1,16,5,Residential,1000
1,6,5,Other,750
1,8,5,Residential,926.590026855469
1,1,5,Residential,400
1,19,5,Residential,250
1,14,11,Other,1000
1,23,5,Other,350
1,16,5,Residential,150
1,22,5,Residential,800
1,1,5,Residential,450
1,13,5,Residential,630
1,21,5,Residential,350
1,14,5,Outdoors,450
1,0,4,Outdoors,600
1,8,5,Other,600
1,2,5,Residential,380
1,13,5,Residential,538
1,17,5,Residential,2000
1,12,5,Other,700
1,21,5,Residential,600
1,5,5,Outdoors,700
1,16,5,Other,800
1,17,5,Other,1500
1,0,5,Residential,529.950012207031
1,22,5,Outdoors,500
1,0,5,Residential,1499.94995117188
1,22,5,Residential,1000
1,18,5,Residential,130
1,19,5,Outdoors,400
1,12,5,Residential,1400
1,9,5,Outdoors,279
1,18,5,Residential,350
1,16,5,Residential,1800
1,13,4,Other,800
1,15,5,Residential,600
1,21,5,Outdoors,200
1,13,5,Outdoors,800
1,21,5,Residential,112.98999786377
1,18,5,Residential,600
1,23,5,Outdoors,355
1,23,5,Other,0
0,1,5,Residential,750
1,9,5,Residential,500
1,1,5,Other,200
0,1,5,Residential,750
1,1,5,Other,1600
1,22,5,Outdoors,600
1,17,5,Residential,500
1,12,5,Residential,500
1,8,5,Residential,200
1,0,5,Outdoors,598.900024414063
1,17,5,Outdoors,900
1,14,5,Outdoors,350
1,18,5,Other,350
1,12,5,Outdoors,500
1,22,5,Other,800
1,19,6,Residential,600
1,18,5,Residential,220
1,23,5,Residential,423.75
1,8,5,Outdoors,500
1,10,6,Outdoors,189
1,23,5,Residential,250
1,19,5,Residential,959.369995117188
1,10,6,Residential,700
1,19,5,Residential,469.989990234375
1,9,5,Residential,1000
1,12,6,Residential,950
1,18,5,Residential,300
1,18,5,Other,1400
1,13,6,Other,300
1,9,5,Residential,1000
1,19,5,Residential,650
1,18,5,Residential,1500
1,18,5,Other,1100
1,20,6,Other,450
1,23,6,Other,100
1,17,5,Other,150
0,23,6,Other,275
1,10,6,Other,250
1,17,5,Other,150
1,9,6,Residential,500
1,22,6,Other,100
1,22,6,Residential,400
1,14,6,Other,1300
1,10,6,Residential,300
1,3,6,Residential,1200
1,23,6,Other,100
1,17,5,Outdoors,305
1,13,6,Other,700
1,21,6,Residential,1600
1,15,6,Outdoors,1099
1,19,1,Other,170
0,12,4,Outdoors,198
1,22,6,Other,550
1,18,6,Residential,300
1,12,6,Outdoors,0
1,12,4,Outdoors,198
1,14,5,Residential,200
1,17,6,Outdoors,100
1,20,6,Outdoors,300
1,16,6,Other,600
1,20,6,Residential,480
1,13,6,Other,1100
1,14,6,Outdoors,1500
1,17,6,Outdoors,78
1,14,6,Outdoors,20
1,8,6,Outdoors,400
1,19,6,Residential,300
1,1,6,Residential,0
1,14,6,Residential,90
1,1,6,Other,1000
1,23,6,Other,1200
1,20,6,Residential,2000
1,23,6,Outdoors,400
1,15,6,Outdoors,370
1,18,6,Residential,400
1,9,6,Outdoors,1000
1,20,5,Residential,200
1,20,5,Residential,250
1,20,6,Outdoors,1000
1,8,6,Outdoors,1600
1,18,6,Residential,350
1,8,6,Outdoors,1500
1,8,6,Outdoors,250
1,11,6,Outdoors,1000
1,22,6,Residential,200
1,14,5,Outdoors,300
1,23,6,Outdoors,630
1,8,6,Outdoors,250
1,13,6,Outdoors,300
1,23,6,Residential,300
1,8,6,Outdoors,175
1,17,6,Outdoors,1700
1,15,9,Outdoors,1700
1,20,6,Residential,1500
1,21,6,Outdoors,599
1,16,6,Outdoors,159.990005493164
1,16,6,Outdoors,500
1,22,6,Residential,100
1,8,6,Outdoors,150
1,17,6,Residential,250
1,21,6,Outdoors,839
1,17,6,Other,499
1,2,6,Residential,999
1,0,6,Residential,1000
1,9,6,Outdoors,1100
1,15,6,Residential,300
1,9,6,Other,0
1,2,6,Residential,1000
1,1,6,Residential,99
1,13,6,Outdoors,120
1,18,6,Other,850
1,18,6,Other,500
1,13,6,Outdoors,200
1,23,6,Other,1350
1,20,6,Residential,1100
1,10,6,Residential,200
1,8,6,Outdoors,800
1,7,6,Residential,1800
1,0,6,Residential,750
1,10,6,Residential,850
1,23,6,Outdoors,429
1,16,6,Residential,400
1,14,6,Other,294
1,16,6,Outdoors,300
1,3,6,Outdoors,1650
1,4,6,Other,200
1,8,6,Residential,806.549987792969
1,8,6,Residential,1101.05004882813
1,22,6,Residential,600
1,9,6,Other,500
1,16,6,Residential,300
1,16,6,Residential,100
1,22,6,Residential,2000
1,17,6,Residential,550
1,15,6,Residential,0
1,20,6,Residential,100
1,20,6,Outdoors,140
1,17,6,Outdoors,88
1,9,6,Residential,250
1,0,6,Residential,560
1,18,6,Outdoors,400
1,22,6,Residential,520
1,10,6,Residential,600
1,22,6,Residential,500
1,15,6,Residential,2000
1,9,6,Outdoors,600
1,19,6,Residential,600
1,18,6,Other,682.52001953125
1,10,6,Other,1400
1,11,6,Outdoors,500
1,13,6,Residential,100
1,15,6,Outdoors,1500
1,2,6,Outdoors,0
1,0,6,Outdoors,900
1,15,6,Outdoors,600
1,16,6,Outdoors,0
1,23,6,Residential,600
1,18,6,Residential,300
1,0,6,Residential,600
1,23,6,Residential,550
1,0,6,Other,1400
1,21,6,Residential,600
1,16,6,Other,900
1,17,6,Residential,1200
1,12,6,Residential,100
1,19,6,Residential,1500
1,9,6,Residential,350
1,19,6,Residential,160
1,19,6,Other,700
1,7,6,Outdoors,1500
1,17,6,Residential,600
1,21,6,Residential,700
1,10,6,Outdoors,450
1,1,6,Residential,500
1,3,5,Residential,100
1,6,6,Other,582.469970703125
1,10,6,Residential,1800
1,12,6,Outdoors,50
1,12,6,Outdoors,300
1,6,6,Residential,300
1,17,6,Outdoors,290
1,15,6,Outdoors,1800
1,12,6,Other,900
1,19,6,Residential,399.989990234375
1,15,6,Other,355
1,8,6,Outdoors,30
1,10,6,Outdoors,500
1,18,6,Other,200
1,20,6,Residential,480
1,1,6,Residential,600
1,15,6,Residential,400
1,19,6,Residential,150
1,23,6,Residential,900
1,15,6,Residential,500
1,19,6,Residential,150
1,11,6,Outdoors,850
1,18,6,Outdoors,400
1,15,6,Outdoors,200
1,5,6,Residential,300
1,12,6,Residential,600
1,11,6,Residential,0
1,22,6,Residential,120
1,23,6,Residential,0
1,8,6,Other,300
1,6,6,Residential,1599
1,13,6,Other,450
1,23,6,Residential,180
1,16,6,Outdoors,1200
1,20,6,Residential,700
1,11,6,Other,300
1,17,6,Outdoors,200
1,10,6,Outdoors,600
1,0,5,Residential,519
1,22,6,Residential,325
1,19,6,Outdoors,600
1,8,6,Other,999
1,13,6,Outdoors,650
1,20,6,Residential,200
1,12,6,Residential,800
1,18,6,Residential,2300
0,18,6,Other,400
1,16,6,Outdoors,275
1,21,6,Other,1000
1,10,6,Outdoors,200
1,9,6,Outdoors,700
1,8,6,Residential,0
1,21,6,Residential,750
1,6,6,Residential,542.77001953125
1,16,5,Residential,500
1,13,6,Outdoors,200
1,18,6,Outdoors,800
1,22,6,Other,600
1,16,6,Residential,50
1,15,6,Residential,370
1,16,6,Residential,600
1,1,6,Residential,200
1,20,6,Other,1400
